KF_Column_Title	Description	Status
Meal Allowance (Annual full-time equivalent)	If Applicable	Amount of money an employee is granted to compensate for meals / dining / food.
Dependent Education Allowance (Annual full-time equivalent)	If Applicable	Amount of money an employee’s dependents are granted to compensate for education / tuition costs.
Telecommunication Allowance (Annual full-time equivalent)	If Applicable	"Amount of money an employee is granted to compensate for telecommunication costs (i.e. mobile phone, internet, etc.)."
All Other Allowances (Annual full-time equivalent)	If Applicable	Amount of money for all (other) allowances your company provides to employees.
Total Package (Annual full-time equivalent)	"Specific Africa countries (DRC, Madagascar, Malawi, Rwanda and Zimbabwe), If Applicable"	"If your company runs on Total Cost to Company, please provide the amounts in this column (do not include variable amounts)."
Total Pension/Provident Fund (Annual full-time equivalent)		Represents the annualized employer's contribution to retirement fund on behalf of the incumbent.
Medical Aid Contribution (Annual full-time equivalent)		The annual amount of Private Health Insurance contribution paid directly to or on behalf of the employee by the organization as part of the remuneration package.
Other Benefits and Allowances (Annual full-time equivalent)		Amount of money for all other benefits and allowances your company provides to employees. 
Executive/Non-Executive Indicator (E / N)	Optional	"Please indicate if the incumbent is a Senior Executive (""E"") or Non-Executive (""N"")."
Weekly Hours Worked	Optional	Please record the average number of hours worked in a standard work week.
Year of Birth	Optional	The year the incumbent was born. 
Year of Hire	Optional	The year the incumbent was hired.
